Label,Value
A0,2
B0,3
A0,2
B1,6
A0,2
B2,9
A0,2
B3,12
A0,2
B4,15
A0,2
B5,18
A0,2
B6,21
A0,2
B7,24
A0,2
B8,27
A0,2
B9,30
A1,4
B0,3
A1,4
B1,6
A1,4
B2,9
A1,4
B3,12
A1,4
B4,15
A1,4
B5,18
A1,4
B6,21
A1,4
B7,24
A1,4
B8,27
A1,4
B9,30
A0,2
B0,3
A0,2
B1,6
A0,2
B2,9
A0,2
B3,12
A0,2
B4,15
A0,2
B5,18
A0,2
B6,21
A0,2
B7,24
A0,2
B8,27
A0,2
B9,30
A1,4
B0,3
A1,4
B1,6
A1,4
B2,9
A1,4
B3,12
A1,4
B4,15
A1,4
B5,18
A1,4
B6,21
A1,4
B7,24
A1,4
B8,27
A1,4
B9,30
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A0,2
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A1,4
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A0,2
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A1,4
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A0,2
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A1,4
A0,2
A1,4
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A0,2
A1,4
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A0,2
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A1,4
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A0,2
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A1,4
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A0,2
A1,4
B0,3
B1,6
B2,9
B3,12
B4,15
B5,18
B6,21
B7,24
B8,27
B9,30
A0,2
A1,4
B0,4
B1,8
B2,12
B3,16
B4,20
B5,24
B6,28
B7,32
B8,36
B9,40
A0,2
A1,4
B0,4
B1,8
B2,12
B3,16
B4,20
B5,24
B6,28
B7,32
B8,36
B9,40
A0,2
A1,4
B0,5
B1,10
B2,15
B3,20
B4,25
B5,30
B6,35
B7,40
B8,45
B9,50
A0,2
A1,4
B0,5
B1,10
B2,15
B3,20
B4,25
B5,30
B6,35
B7,40
B8,45
B9,50
